date,total_sleep_h,deep_h,rem_h,resting_hr,hrv_ms,readiness
2026-06-15,6.2,0.8,1.5,49,62,64
2026-06-16,6.4,0.8,1.5,48,33,85
2026-06-17,6.5,0.9,1.5,48,64,65
2026-06-18,8.2,1.5,2.0,48,64,83
2026-06-19,5.4,0.8,1.3,50,46,84
2026-06-20,5.7,0.8,1.2,61,71,69
2026-06-21,5.5,1.0,1.1,49,63,62
2026-06-22,7.0,1.3,1.6,56,55,78
2026-06-23,6.7,1.4,1.4,51,39,73
2026-06-24,5.5,0.8,1.3,53,74,86
2026-06-25,6.1,1.3,1.2,54,38,79
2026-06-26,5.7,1.0,1.0,58,32,93
2026-06-27,7.0,1.5,1.5,59,50,89
2026-06-28,7.1,1.2,1.9,52,58,62
2026-06-29,5.4,1.0,1.3,58,56,76
2026-06-30,7.5,1.6,1.6,55,50,68
2026-07-01,7.2,1.2,1.5,52,36,73
2026-07-02,6.5,1.4,1.5,50,56,83
2026-07-03,7.0,1.5,1.8,61,63,75
2026-07-04,7.5,1.6,1.9,54,42,67
2026-07-05,5.5,0.7,1.4,48,59,69
2026-07-06,6.0,0.7,1.3,53,67,94
2026-07-07,6.2,0.8,1.6,57,69,61
2026-07-08,6.7,1.4,1.8,58,63,83
2026-07-09,6.5,1.0,1.5,54,31,70
2026-07-10,5.4,0.8,1.1,53,66,61
2026-07-11,5.5,1.0,1.3,53,67,59
2026-07-12,5.4,0.8,1.2,58,44,80
2026-07-13,7.1,1.2,1.4,55,57,88
2026-07-14,6.7,0.9,1.3,53,44,88
2026-07-15,7.9,1.1,1.4,56,51,67
2026-07-16,7.4,1.6,1.9,52,69,63
2026-07-17,7.4,1.1,1.6,50,50,72
2026-07-18,6.9,1.4,1.5,51,67,70
2026-07-19,7.8,1.6,2.0,51,40,91
2026-07-20,6.8,1.3,1.9,60,45,88
2026-07-21,6.0,1.1,1.7,55,74,80
2026-07-22,8.3,1.3,1.7,51,58,70
2026-07-23,6.3,1.1,1.8,57,28,88
2026-07-24,8.1,1.3,2.0,61,70,65
2026-07-25,8.1,1.6,2.1,55,39,85
2026-07-26,7.7,1.2,2.0,59,53,87
2026-07-27,6.5,1.4,1.6,50,36,59
2026-07-28,5.7,1.2,1.5,50,67,88
2026-07-29,7.3,1.1,1.7,50,29,58
2026-07-30,7.8,1.5,1.5,59,36,85
2026-07-31,8.4,1.2,2.2,48,44,71
2026-08-01,6.1,0.9,1.5,52,62,84
2026-08-02,7.9,1.0,2.0,62,57,91
2026-08-03,6.5,1.4,1.5,56,37,91
2026-08-04,6.8,1.4,1.8,57,28,67
2026-08-05,5.8,1.0,1.5,56,31,78
2026-08-06,7.4,1.3,1.7,60,34,93
2026-08-07,5.4,0.8,1.0,49,60,86
2026-08-08,7.0,1.4,1.9,55,48,90
2026-08-09,7.1,1.0,1.5,56,62,88
2026-08-10,6.8,1.0,1.6,62,44,93
2026-08-11,8.1,1.1,1.8,54,35,83
2026-08-12,6.6,0.8,1.3,49,41,77
2026-08-13,7.7,1.6,1.5,59,69,81
