marker,value,unit,ref_low,ref_high,flag
TSH,4.82,mIU/L,0.40,4.00,HIGH
Free T4,0.91,ng/dL,0.82,1.77,
Free T3,2.6,pg/mL,2.0,4.4,
TPO antibodies,212,IU/mL,0,34,HIGH
Ferritin,18,ng/mL,15,150,
Vitamin D 25-OH,21,ng/mL,30,100,LOW
Vitamin B12,388,pg/mL,200,900,
HbA1c,5.3,%,4.0,5.6,
Haemoglobin,12.9,g/dL,12.0,15.5,
CRP,1.8,mg/L,0.0,3.0,
Cortisol,410,,150,650,
Homocysteine,9.2,µmol/L,,,
Haematocrit,41.2,%,36,46,
Red blood cells,4.65,10^12/L,4.1,5.1,
White blood cells,6.4,10^9/L,4,11,
Platelets,248,10^9/L,150,400,
Mean corpuscular volume,88.6,fL,80,100,
Mean corpuscular haemoglobin,29.7,pg,27,33,
Red cell distribution width,12.9,%,11.5,14.5,
Neutrophils,3.7,10^9/L,2,7.5,
Lymphocytes,2.0,10^9/L,1,4,
Monocytes,0.45,10^9/L,0.2,0.8,
Sodium,140,mmol/L,136,145,
Chloride,102,mmol/L,98,107,
Fasting glucose,89,mg/dL,70,99,
Creatinine,0.78,mg/dL,0.55,1.02,
Total cholesterol,184,mg/dL,,200,
LDL cholesterol,142,mg/dL,,129,
HDL cholesterol,62,mg/dL,50,,
Triglycerides,86,mg/dL,,150,
hs-CRP,<0.3,mg/L,0,1,
Potassium,4.1,mmol/L,5.1,3.5,
